ts_code,start_date,hy_code
000159,2011/1/10,210202
000159,2018/6/19,220103
000159,2021/7/30,750302
000159,2022/7/29,620401
000166,2015/1/18,490101
000301,2000/4/24,350103
000301,2009/10/9,450103
000301,2014/1/1,450502
000301,2018/5/30,410104
000301,2019/7/24,220401
000301,2021/7/30,750301
000333,2013/1/18,330102
000338,2007/4/30,310201
000338,2014/1/1,280201
000338,2021/7/30,280203
000400,1997/4/9,260402
000400,2011/10/10,260404
000400,2014/1/1,630201
000400,2021/7/30,630803
000401,1996/6/14,250102
000401,2014/1/1,610101
000402,1996/6/6,360201
000402,2000/9/1,430201
000402,2008/1/2,430101
000402,2021/7/30,430102
000403,1996/6/28,370301
000403,2021/7/30,370302
000404,1996/6/19,330101
000404,2011/1/10,330105
000404,2021/7/30,330601
000405,1996/6/20,240101
000406,1996/6/28,210101
000407,1996/7/3,220501
000407,2014/1/1,220303
000407,2017/12/15,410301
000408,1996/6/28,250103
000408,2007/7/2,450103
000408,2012/1/2,450201
000408,2018/7/13,220306
000408,2021/7/30,220804
000409,1996/6/12,260207
000409,2002/5/1,320201
000409,2007/7/2,510101
000409,2013/1/1,210301
000409,2017/6/29,510101
000409,2022/7/29,710301
000410,1996/7/18,260101
000410,2014/1/1,640101
000411,1996/6/26,350104
000411,2002/5/1,370301
000411,2010/10/8,450201
000411,2011/1/10,370401
000411,2021/7/30,370402
000412,1996/7/15,510101
000413,1996/9/25,270301
000415,1996/6/23,470301
000415,2002/9/1,250201
000415,2011/10/10,440201
000415,2014/1/1,490301
000415,2021/7/30,490305
000416,1996/6/24,450101
000416,2002/5/1,370301
000416,2010/10/8,450101
000416,2014/1/1,450303
000416,2018/4/20,490301
000416,2021/7/30,490302
000417,1996/8/12,450101
000417,2014/1/1,450303
000417,2017/6/29,450301
000418,1997/3/28,330103
000419,1996/8/16,450101
000419,2014/1/1,450303
000420,1996/8/2,220403
000421,1996/8/6,420301
000421,2014/1/1,510101
000421,2017/12/11,410301
