,GROUP_CODE,GROUP_NAV_DATE,GROUP_REH_VALUE
176,ZH032095,2019-08-20,1.3109
177,ZH032095,2019-08-21,1.308
178,ZH032095,2019-08-22,1.3178
179,ZH032095,2019-08-23,1.3301
180,ZH032095,2019-08-26,1.3127
181,ZH032095,2019-08-27,1.3319
182,ZH032095,2019-08-28,1.3313
183,ZH032095,2019-08-29,1.331
184,ZH032095,2019-08-30,1.3447
185,ZH032095,2019-09-02,1.3544
186,ZH032095,2019-09-03,1.3564
187,ZH032095,2019-09-04,1.3595
188,ZH032095,2019-09-05,1.366
189,ZH032095,2019-09-06,1.3656
190,ZH032095,2019-09-09,1.3754
191,ZH032095,2019-09-10,1.3678
192,ZH032095,2019-09-11,1.3463
193,ZH032095,2019-09-12,1.3591
194,ZH032095,2019-09-16,1.3552
195,ZH032095,2019-09-17,1.342
196,ZH032095,2019-09-18,1.3543
197,ZH032095,2019-09-19,1.3622
198,ZH032095,2019-09-20,1.3645
199,ZH032095,2019-09-23,1.3542
200,ZH032095,2019-09-24,1.3618
201,ZH032095,2019-09-25,1.3512
202,ZH032095,2019-09-26,1.3363
203,ZH032095,2019-09-27,1.3416
204,ZH032095,2019-09-30,1.3312
205,ZH032095,2019-10-08,1.3415
206,ZH032095,2019-10-09,1.3466
207,ZH032095,2019-10-10,1.3629
208,ZH032095,2019-10-11,1.3712
209,ZH032095,2019-10-14,1.3847
210,ZH032095,2019-10-15,1.3788
211,ZH032095,2019-10-16,1.3743
212,ZH032095,2019-10-17,1.375
213,ZH032095,2019-10-18,1.3603
214,ZH032095,2019-10-21,1.3652
215,ZH032095,2019-10-22,1.3722
216,ZH032095,2019-10-23,1.3602
217,ZH032095,2019-10-24,1.3569
218,ZH032095,2019-10-25,1.372
219,ZH032095,2019-10-28,1.3876
220,ZH032095,2019-10-29,1.3884
221,ZH032095,2019-10-30,1.3886
222,ZH032095,2019-10-31,1.3891
223,ZH032095,2019-11-01,1.4107
224,ZH032095,2019-11-04,1.4201
225,ZH032095,2019-11-05,1.4299
226,ZH032095,2019-11-06,1.4194
227,ZH032095,2019-11-07,1.4211
228,ZH032095,2019-11-08,1.4162
229,ZH032095,2019-11-11,1.394
230,ZH032095,2019-11-12,1.396
231,ZH032095,2019-11-13,1.4071
232,ZH032095,2019-11-14,1.4136
233,ZH032095,2019-11-15,1.4059
234,ZH032095,2019-11-18,1.4131
235,ZH032095,2019-11-19,1.4313
236,ZH032095,2019-11-20,1.4225
237,ZH032095,2019-11-21,1.4164
238,ZH032095,2019-11-22,1.3898
239,ZH032095,2019-11-25,1.3867
240,ZH032095,2019-11-26,1.3945
241,ZH032095,2019-11-27,1.3913
242,ZH032095,2019-11-28,1.3867
729,ZH032095,2019-11-29,1.3713
731,ZH032095,2019-12-02,1.3765
734,ZH032095,2019-12-03,1.3881
736,ZH032095,2019-12-04,1.3904
742,ZH032095,2019-12-05,1.3988
744,ZH032095,2019-12-06,1.4127
747,ZH032095,2019-12-09,1.4117
750,ZH032095,2019-12-10,1.4199
752,ZH032095,2019-12-11,1.4148
756,ZH032095,2019-12-12,1.4128
758,ZH032095,2019-12-13,1.434
763,ZH032095,2019-12-16,1.4475
766,ZH032095,2019-12-17,1.4609
768,ZH032095,2019-12-18,1.4546
771,ZH032095,2019-12-19,1.4508
775,ZH032095,2019-12-20,1.4437
778,ZH032095,2019-12-23,1.4295
781,ZH032095,2019-12-24,1.4486
784,ZH032095,2019-12-25,1.4528
787,ZH032095,2019-12-26,1.4579
789,ZH032095,2019-12-27,1.4507
793,ZH032095,2019-12-30,1.4674
795,ZH032095,2019-12-31,1.4773
798,ZH032095,2020-01-02,1.501
802,ZH032095,2020-01-03,1.4976
804,ZH032095,2020-01-06,1.4981
808,ZH032095,2020-01-07,1.5083
810,ZH032095,2020-01-08,1.4924
813,ZH032095,2020-01-09,1.5176
816,ZH032095,2020-01-10,1.5222
819,ZH032095,2020-01-13,1.5361
822,ZH032095,2020-01-14,1.5258
825,ZH032095,2020-01-15,1.527
827,ZH032095,2020-01-16,1.5261
831,ZH032095,2020-01-17,1.5248
834,ZH032095,2020-01-20,1.5434
836,ZH032095,2020-01-21,1.5198
840,ZH032095,2020-01-22,1.5375
843,ZH032095,2020-01-23,1.4942
846,ZH032095,2020-02-03,1.3904
850,ZH032095,2020-02-04,1.4485
853,ZH032095,2020-02-05,1.4662
855,ZH032095,2020-02-06,1.5014
859,ZH032095,2020-02-07,1.5129
861,ZH032095,2020-02-10,1.5291
865,ZH032095,2020-02-11,1.5418
868,ZH032095,2020-02-12,1.57
871,ZH032095,2020-02-13,1.5636
874,ZH032095,2020-02-14,1.5702
877,ZH032095,2020-02-17,1.6153
880,ZH032095,2020-02-18,1.6311
883,ZH032095,2020-02-19,1.6169
886,ZH032095,2020-02-20,1.648
888,ZH032095,2020-02-21,1.6757
891,ZH032095,2020-02-24,1.7031
895,ZH032095,2020-02-25,1.7118
898,ZH032095,2020-02-26,1.6601
901,ZH032095,2020-02-27,1.671
